epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5585,2.0769,3.31631,1.55773,0.00167,0.36607,0.00198,0.00051,2.06971,4.3712,1.63438,0.00056,0.00056,0.00056
2,34.2144,1.82274,1.8303,1.40074,0.00289,0.63393,0.00261,0.00105,1.62029,4.01075,1.38281,0.00111743,0.00111743,0.00111743
3,50.5554,1.69322,1.49717,1.31905,0.09446,0.5,0.12229,0.0643,1.64651,3.23961,1.43266,0.00165189,0.00165189,0.00165189
4,67.9183,1.692,1.32556,1.3171,0.3857,0.59821,0.36094,0.16072,1.79342,2.09709,1.48731,0.0018812,0.0018812,0.0018812
5,84.7561,1.60021,1.13395,1.24994,0.8907,0.83929,0.93599,0.44654,1.77089,1.5352,1.49346,0.0018416,0.0018416,0.0018416
6,101.911,1.59572,1.07428,1.27061,0.90977,0.9375,0.96013,0.48567,1.69405,1.22761,1.43076,0.001802,0.001802,0.001802
7,119.894,1.59339,1.00477,1.25763,0.87762,0.96049,0.96355,0.51258,1.64278,1.0962,1.37967,0.0017624,0.0017624,0.0017624
8,137.482,1.58515,0.91176,1.24246,0.91577,0.98214,0.97313,0.54,1.55618,0.93369,1.32645,0.0017228,0.0017228,0.0017228
9,151.341,1.55446,0.88035,1.26753,0.9068,0.86875,0.94122,0.48183,1.65921,0.97711,1.40405,0.0016832,0.0016832,0.0016832
10,164.618,1.51497,0.81932,1.22396,0.93578,0.95536,0.98373,0.48417,1.7302,0.88752,1.42333,0.0016436,0.0016436,0.0016436
11,178.723,1.53537,0.8132,1.20669,0.99818,0.95536,0.99258,0.5286,1.5872,0.77933,1.34191,0.001604,0.001604,0.001604
12,193.817,1.48909,0.79109,1.21405,0.9747,0.9375,0.98893,0.51604,1.6798,0.81199,1.39905,0.0015644,0.0015644,0.0015644
13,209.234,1.49584,0.77109,1.21247,0.97721,0.92857,0.97856,0.52431,1.60531,0.80474,1.36811,0.0015248,0.0015248,0.0015248
14,224.62,1.51228,0.7428,1.21419,0.92289,0.96174,0.97928,0.54591,1.59218,0.75335,1.35792,0.0014852,0.0014852,0.0014852
15,238.58,1.44513,0.73766,1.22094,0.95951,0.91964,0.97484,0.54242,1.609,0.75007,1.35543,0.0014456,0.0014456,0.0014456
16,252.685,1.46885,0.73543,1.20663,0.95197,0.91964,0.97882,0.55428,1.53492,0.74414,1.32204,0.001406,0.001406,0.001406
17,266.699,1.45093,0.72178,1.1862,0.94675,0.91964,0.97965,0.51873,1.60971,0.74751,1.37331,0.0013664,0.0013664,0.0013664
18,281.977,1.44823,0.70384,1.18184,0.95504,0.91071,0.97716,0.55351,1.59097,0.77478,1.35101,0.0013268,0.0013268,0.0013268
19,295.04,1.39987,0.67281,1.173,0.93851,0.95397,0.98422,0.52274,1.62465,0.68653,1.36751,0.0012872,0.0012872,0.0012872
20,309.474,1.42272,0.68772,1.17984,0.92662,0.97321,0.98836,0.56401,1.56077,0.68758,1.33917,0.0012476,0.0012476,0.0012476
21,324.308,1.38872,0.66722,1.163,0.96344,0.95536,0.98906,0.55552,1.57161,0.65576,1.33658,0.001208,0.001208,0.001208
22,339.286,1.39125,0.645,1.14055,0.97689,0.94643,0.99035,0.54824,1.5846,0.64691,1.35186,0.0011684,0.0011684,0.0011684
23,354.474,1.39309,0.63874,1.14174,0.98262,0.9375,0.98555,0.54793,1.58799,0.66742,1.35418,0.0011288,0.0011288,0.0011288
24,369.548,1.33733,0.62698,1.12746,0.93647,0.96429,0.98484,0.56731,1.55548,0.65132,1.33892,0.0010892,0.0010892,0.0010892
25,383.968,1.30066,0.61727,1.12274,0.96411,0.95932,0.98804,0.58217,1.51707,0.63977,1.33649,0.0010496,0.0010496,0.0010496
26,399.004,1.32847,0.61887,1.11881,0.93034,0.92857,0.98403,0.53762,1.60556,0.64859,1.35932,0.00101,0.00101,0.00101
27,414.141,1.33365,0.6249,1.14284,0.92238,0.95496,0.98267,0.55299,1.56846,0.65389,1.34623,0.0009704,0.0009704,0.0009704
28,426.911,1.32607,0.59921,1.12574,0.94013,0.94643,0.98397,0.5612,1.57074,0.65398,1.31693,0.0009308,0.0009308,0.0009308
29,441.718,1.30623,0.60277,1.11967,0.99082,0.9634,0.99,0.57599,1.5381,0.61687,1.32727,0.0008912,0.0008912,0.0008912
30,456.651,1.25872,0.57084,1.08989,0.9796,0.97321,0.99217,0.56602,1.55489,0.60328,1.34431,0.0008516,0.0008516,0.0008516
31,471.615,1.28539,0.58259,1.12053,0.95524,0.95268,0.98778,0.5482,1.57841,0.60981,1.35204,0.000812,0.000812,0.000812
32,485.415,1.26035,0.57247,1.11391,0.96419,0.96159,0.99124,0.57152,1.51576,0.59669,1.33629,0.0007724,0.0007724,0.0007724
33,500.338,1.24024,0.56525,1.09363,0.93731,0.95536,0.98048,0.54361,1.59423,0.63501,1.36909,0.0007328,0.0007328,0.0007328
34,515.01,1.25678,0.58113,1.11235,0.89568,0.96429,0.98209,0.56456,1.59926,0.61464,1.36738,0.0006932,0.0006932,0.0006932
35,529.173,1.25638,0.56735,1.10514,0.93129,0.96812,0.98817,0.5579,1.58318,0.61341,1.35447,0.0006536,0.0006536,0.0006536
36,544.141,1.20449,0.54143,1.06375,0.96501,0.98495,0.99312,0.55262,1.59799,0.59754,1.36127,0.000614,0.000614,0.000614
37,560.342,1.20632,0.55054,1.08048,0.92463,0.9859,0.98917,0.56547,1.56843,0.59161,1.33338,0.0005744,0.0005744,0.0005744
38,572.932,1.19487,0.53747,1.10247,0.96386,0.91964,0.98541,0.57652,1.53625,0.5836,1.31172,0.0005348,0.0005348,0.0005348
39,586.362,1.16164,0.53894,1.04635,0.92791,0.98214,0.9892,0.56014,1.5744,0.60503,1.35008,0.0004952,0.0004952,0.0004952
40,599.559,1.18198,0.52969,1.05774,0.93176,0.9753,0.98865,0.56815,1.57869,0.6147,1.35324,0.0004556,0.0004556,0.0004556
41,614.674,1.16369,0.52441,1.09863,0.95442,0.98214,0.99032,0.57069,1.55989,0.58509,1.35809,0.000416,0.000416,0.000416
42,629.387,1.1112,0.51112,1.09487,0.98197,0.97261,0.99173,0.55236,1.58343,0.59503,1.36382,0.0003764,0.0003764,0.0003764
43,643.838,1.10693,0.50053,1.0911,0.9398,0.97564,0.98764,0.56257,1.58188,0.62907,1.35348,0.0003368,0.0003368,0.0003368
